,Spain / Uruguay,Portugal / Brazil,Great Britain,Netherlands,U.S.A.,France,Denmark / Baltic,Totals
1501-1525,6363,7000,0,0,0,0,0,13363
1526-1550,25375,25387,0,0,0,0,0,50762
1551-1575,28167,31089,1685,0,0,66,0,61007
1576-1600,60056,90715,237,1365,0,0,0,152373
1601-1625,83496,267519,0,1829,0,0,0,352844
1626-1650,44313,201609,33695,31729,824,1827,1053,315050
1651-1675,12601,244793,122367,100526,0,7125,653,488065
1676-1700,5860,297272,272200,85847,3327,29484,25685,719675
1701-1725,0,474447,410597,73816,3277,120939,5833,1088909
1726-1750,0,536696,554042,83095,34004,259095,4793,1471725
1751-1775,4239,528693,832047,132330,84580,325918,17508,1925315
1776-1800,6415,673167,748612,40773,67443,433061,39199,2008670
1801-1825,168087,1160601,283959,2669,109545,135815,16316,1876992
1826-1850,400728,1299969,0,357,1850,68074,0,1770978
1851-1875,215824,9309,0,0,476,0,0,225609
Totals,1061524,5848266,3259441,554336,305326,1381404,111040,12521337
